Name,Date,Close/Last,Volume,Open,High,Low
AAPL,9/20/24,228.20,318679900.00,229.97,233.09,227.62
AAPL,9/19/24,228.87,66781320.00,224.99,229.82,224.63
AAPL,9/18/24,220.69,59894930.00,217.55,222.71,217.54
AAPL,9/17/24,216.79,45519340.00,215.75,216.90,214.50
AAPL,9/16/24,216.32,59357430.00,216.54,217.22,213.92
AAPL,9/13/24,222.50,36766620.00,223.58,224.04,221.91
AAPL,9/12/24,222.77,37498230.00,222.50,223.55,219.82
AAPL,9/11/24,222.66,44587070.00,221.46,223.09,217.89
AAPL,9/10/24,220.11,51591030.00,218.92,221.48,216.73
AAPL,9/9/24,220.91,67179970.00,220.82,221.27,216.71
AAPL,9/6/24,220.82,48423010.00,223.95,225.24,219.77
AAPL,9/5/24,222.38,36615400.00,221.63,225.48,221.52
AAPL,9/4/24,220.85,43840200.00,221.66,221.78,217.48
AAPL,9/3/24,222.77,50190570.00,228.55,229.00,221.17
AAPL,8/30/24,229.00,52990770.00,230.19,230.40,227.48
AAPL,8/29/24,229.79,51906300.00,230.10,232.92,228.88
AAPL,8/28/24,226.49,38052170.00,227.92,229.86,225.68
AAPL,8/27/24,228.03,35934560.00,226.00,228.85,224.89
AAPL,8/26/24,227.18,30602210.00,226.76,227.28,223.89
AAPL,8/23/24,226.84,38677250.00,225.66,228.22,224.33
AAPL,8/22/24,224.53,43695320.00,227.79,228.34,223.90
AAPL,8/21/24,226.40,34765480.00,226.52,227.98,225.05
AAPL,8/20/24,226.51,30299030.00,225.77,227.17,225.45
AAPL,8/19/24,225.89,40687810.00,225.72,225.99,223.04
AAPL,8/16/24,226.05,44340240.00,223.92,226.83,223.65
AAPL,8/15/24,224.72,46414010.00,224.60,225.35,222.76
AAPL,8/14/24,221.72,41960570.00,220.57,223.03,219.70
AAPL,8/13/24,221.27,44155330.00,219.01,221.89,219.01
AAPL,8/12/24,217.53,38028090.00,216.07,219.51,215.60
AAPL,8/9/24,216.24,42201650.00,212.10,216.78,211.97
AAPL,8/8/24,213.31,47161150.00,213.11,214.20,208.83
AAPL,8/7/24,209.82,63516420.00,206.90,213.64,206.39
AAPL,8/6/24,207.23,69660490.00,205.30,209.99,201.07
AAPL,8/5/24,209.27,119548600.00,199.09,213.50,196.00
AAPL,8/2/24,219.86,105568600.00,219.15,225.60,217.71
AAPL,8/1/24,218.36,62501000.00,224.37,224.48,217.02
AAPL,7/31/24,222.08,50036260.00,221.44,223.82,220.63
AAPL,7/30/24,218.80,41643840.00,219.19,220.33,216.12
AAPL,7/29/24,218.24,36311780.00,216.96,219.30,215.75
AAPL,7/26/24,217.96,41601350.00,218.70,219.49,216.01
AAPL,7/25/24,217.49,51391200.00,218.93,220.85,214.62
AAPL,7/24/24,218.54,61777580.00,224.00,224.80,217.13
AAPL,7/23/24,225.01,39960260.00,224.37,226.94,222.68
AAPL,7/22/24,223.96,48201840.00,227.01,227.78,223.09
AAPL,7/19/24,224.31,49151450.00,224.82,226.80,223.28
AAPL,7/18/24,224.18,66034590.00,230.28,230.44,222.27
AAPL,7/17/24,228.88,57345880.00,229.45,231.46,226.64
AAPL,7/16/24,234.82,43234280.00,235.00,236.27,232.33
AAPL,7/15/24,234.40,62631250.00,236.48,237.23,233.09
AAPL,7/12/24,230.54,53046530.00,228.92,232.64,228.68
AAPL,7/11/24,227.57,64710620.00,231.39,232.39,225.77
AAPL,7/10/24,232.98,62627690.00,229.30,233.08,229.25
AAPL,7/9/24,228.68,48169820.00,227.93,229.40,226.37
AAPL,7/8/24,227.82,59085860.00,227.09,227.85,223.25
AAPL,7/5/24,226.34,60412410.00,221.65,226.45,221.65
AAPL,7/3/24,221.55,37369800.00,220.00,221.55,219.03
AAPL,7/2/24,220.27,58046180.00,216.15,220.38,215.10
AAPL,7/1/24,216.75,60402930.00,212.09,217.51,211.92
AAPL,6/28/24,210.62,82542720.00,215.77,216.07,210.30
AAPL,6/27/24,214.10,49772710.00,214.69,215.74,212.35
AAPL,6/26/24,213.25,66213190.00,211.50,214.86,210.64
AAPL,6/25/24,209.07,56713870.00,209.15,211.38,208.61
AAPL,6/24/24,208.14,80727010.00,207.72,212.70,206.59
AAPL,6/21/24,207.49,246421400.00,210.39,211.89,207.11
AAPL,6/20/24,209.68,86172450.00,213.93,214.24,208.85
AAPL,6/18/24,214.29,79943250.00,217.59,218.63,213.00
AAPL,6/17/24,216.67,93728300.00,213.37,218.95,212.72
AAPL,6/14/24,212.49,70122750.00,213.85,215.17,211.30
AAPL,6/13/24,214.24,97862730.00,214.74,216.75,211.60
AAPL,6/12/24,213.07,198134300.00,207.37,220.20,206.90
AAPL,6/11/24,207.15,172373300.00,193.65,207.16,193.63
AAPL,6/10/24,193.12,97262080.00,196.90,197.30,192.15
AAPL,6/7/24,196.89,53103910.00,194.65,196.94,194.14
AAPL,6/6/24,194.48,41181750.00,195.69,196.50,194.17
AAPL,6/5/24,195.87,54156790.00,195.40,196.90,194.87
AAPL,6/4/24,194.35,47471450.00,194.64,195.32,193.03
AAPL,6/3/24,194.03,50080540.00,192.90,194.99,192.52
AAPL,5/31/24,192.25,75158280.00,191.44,192.57,189.91
AAPL,5/30/24,191.29,49947940.00,190.76,192.18,190.63
AAPL,5/29/24,190.29,53068020.00,189.61,192.25,189.51
AAPL,5/28/24,189.99,52280050.00,191.51,193.00,189.10
AAPL,5/24/24,189.98,36326980.00,188.82,190.58,188.04
AAPL,5/23/24,186.88,51005920.00,190.98,191.00,186.63
AAPL,5/22/24,190.90,34648550.00,192.27,192.82,190.27
AAPL,5/21/24,192.35,42309400.00,191.09,192.73,190.92
AAPL,5/20/24,191.04,44361280.00,189.33,191.92,189.01
AAPL,5/17/24,189.87,41282930.00,189.51,190.81,189.18
AAPL,5/16/24,189.84,52845230.00,190.47,191.10,189.66
AAPL,5/15/24,189.72,70399990.00,187.91,190.65,187.37
AAPL,5/14/24,187.43,52393620.00,187.51,188.30,186.29
AAPL,5/13/24,186.28,72044810.00,185.44,187.10,184.62
AAPL,5/10/24,183.05,50759500.00,184.90,185.09,182.13
AAPL,5/9/24,184.57,48982970.00,182.56,184.66,182.11
AAPL,5/8/24,182.74,45057090.00,182.85,183.07,181.45
AAPL,5/7/24,182.40,77305770.00,183.45,184.90,181.32
AAPL,5/6/24,181.71,78569670.00,182.35,184.20,180.42
AAPL,5/3/24,183.38,163224100.00,186.65,187.00,182.66
AAPL,5/2/24,173.03,94214920.00,172.51,173.42,170.89
AAPL,5/1/24,169.30,50383150.00,169.58,172.71,169.11
AAPL,4/30/24,170.33,65934780.00,173.33,174.99,170.00
AAPL,4/29/24,173.50,68169420.00,173.37,176.03,173.10
AAPL,4/26/24,169.30,44838350.00,169.88,171.34,169.18
AAPL,4/25/24,169.89,50558330.00,169.53,170.61,168.15
AAPL,4/24/24,169.02,48251840.00,166.54,169.30,166.21
AAPL,4/23/24,166.90,49537760.00,165.35,167.05,164.92
AAPL,4/22/24,165.84,48116440.00,165.52,167.26,164.77
AAPL,4/19/24,165.00,68149380.00,166.21,166.40,164.08
AAPL,4/18/24,167.04,43122900.00,168.03,168.64,166.55
AAPL,4/17/24,168.00,50901210.00,169.61,170.65,168.00
AAPL,4/16/24,169.38,73711240.00,171.75,173.76,168.27
AAPL,4/15/24,172.69,73531770.00,175.36,176.63,172.50
AAPL,4/12/24,176.55,101670900.00,174.26,178.36,174.21
AAPL,4/11/24,175.04,91070280.00,168.34,175.46,168.16
AAPL,4/10/24,167.78,49709340.00,168.80,169.09,167.11
AAPL,4/9/24,169.67,42451210.00,168.70,170.08,168.35
AAPL,4/8/24,168.45,37425510.00,169.03,169.20,168.24
AAPL,4/5/24,169.58,42104830.00,169.59,170.39,168.95
AAPL,4/4/24,168.82,53704390.00,170.29,171.92,168.82
AAPL,4/3/24,169.65,47691720.00,168.79,170.68,168.58
AAPL,4/2/24,168.84,49329480.00,169.08,169.34,168.23
AAPL,4/1/24,170.03,46240500.00,171.19,171.25,169.48
AAPL,3/28/24,171.48,65672690.00,171.75,172.23,170.51
AAPL,3/27/24,173.31,60273270.00,170.41,173.60,170.11
AAPL,3/26/24,169.71,57388450.00,170.00,171.42,169.58
AAPL,3/25/24,170.85,54288330.00,170.57,171.94,169.45
AAPL,3/22/24,172.28,71160140.00,171.76,173.05,170.06
AAPL,3/21/24,171.37,106181300.00,177.05,177.49,170.84
AAPL,3/20/24,178.67,53423100.00,175.72,178.67,175.09
AAPL,3/19/24,176.08,55215240.00,174.34,176.61,173.03
AAPL,3/18/24,173.72,75604180.00,175.57,177.71,173.52
AAPL,3/15/24,172.62,121752700.00,171.17,172.62,170.29
AAPL,3/14/24,173.00,72913510.00,172.91,174.31,172.05
AAPL,3/13/24,171.13,52488690.00,172.77,173.19,170.76
AAPL,3/12/24,173.23,59825370.00,173.15,174.03,171.01
AAPL,3/11/24,172.75,60139470.00,172.94,174.38,172.05
AAPL,3/8/24,170.73,76267040.00,169.00,173.70,168.94
AAPL,3/7/24,169.00,71765060.00,169.15,170.73,168.49
AAPL,3/6/24,169.12,68587710.00,171.06,171.24,168.68
AAPL,3/5/24,170.12,95132360.00,170.76,172.04,169.62
AAPL,3/4/24,175.10,81510100.00,176.15,176.90,173.79
AAPL,3/1/24,179.66,73563080.00,179.55,180.53,177.38
AAPL,2/29/24,180.75,136682600.00,181.27,182.57,179.53
AAPL,2/28/24,181.42,48953940.00,182.51,183.12,180.13
AAPL,2/27/24,182.63,54318850.00,181.10,183.92,179.56
AAPL,2/26/24,181.16,40867420.00,182.24,182.76,180.65
AAPL,2/23/24,182.52,45119680.00,185.01,185.04,182.23
AAPL,2/22/24,184.37,52292210.00,183.48,184.96,182.46
AAPL,2/21/24,182.32,41529670.00,181.94,182.89,180.66
AAPL,2/20/24,181.56,53665550.00,181.79,182.43,180.00
AAPL,2/16/24,182.31,49752470.00,183.42,184.85,181.67
AAPL,2/15/24,183.86,65434500.00,183.55,184.49,181.35
AAPL,2/14/24,184.15,54630520.00,185.32,185.53,182.44
AAPL,2/13/24,185.04,56529530.00,185.77,186.21,183.51
