Name,Date,Close/Last,Volume,Open,High,Low
AMZN,9/20/24,$191.60 ,100378600,$190.23 ,$191.84 ,$187.41 
AMZN,9/19/24,$189.87 ,39543170,$190.04 ,$190.99 ,$188.47 
AMZN,9/18/24,$186.43 ,34448130,$186.45 ,$188.80 ,$185.06 
AMZN,9/17/24,$186.88 ,26091680,$186.85 ,$189.45 ,$186.14 
AMZN,9/16/24,$184.89 ,26065490,$185.29 ,$185.81 ,$183.36 
AMZN,9/13/24,$186.49 ,26495350,$187.00 ,$188.50 ,$185.91 
AMZN,9/12/24,$187.00 ,33622480,$184.80 ,$187.41 ,$183.54 
AMZN,9/11/24,$184.52 ,42564700,$180.10 ,$184.99 ,$175.73 
AMZN,9/10/24,$179.55 ,36233800,$177.49 ,$180.50 ,$176.79 
AMZN,9/9/24,$175.40 ,29037360,$174.53 ,$175.85 ,$173.51 
AMZN,9/6/24,$171.39 ,41466540,$177.24 ,$178.38 ,$171.16 
AMZN,9/5/24,$177.89 ,40170530,$175.00 ,$179.88 ,$175.00 
AMZN,9/4/24,$173.33 ,30309230,$174.48 ,$175.98 ,$172.54 
AMZN,9/3/24,$176.25 ,37817510,$177.55 ,$178.26 ,$175.26 
AMZN,8/30/24,$178.50 ,43429360,$172.78 ,$178.90 ,$172.60 
AMZN,8/29/24,$172.12 ,26407820,$173.22 ,$174.29 ,$170.81 
AMZN,8/28/24,$170.80 ,29045030,$173.69 ,$173.69 ,$168.92 
AMZN,8/27/24,$173.12 ,29841980,$174.15 ,$174.89 ,$172.25 
AMZN,8/26/24,$175.50 ,22366240,$176.70 ,$177.47 ,$174.30 
AMZN,8/23/24,$177.04 ,29150090,$177.34 ,$178.97 ,$175.24 
AMZN,8/22/24,$176.13 ,32047480,$181.38 ,$181.47 ,$175.68 
AMZN,8/21/24,$180.11 ,35599120,$179.92 ,$182.39 ,$178.89 
AMZN,8/20/24,$178.88 ,26255200,$177.92 ,$179.01 ,$177.43 
AMZN,8/19/24,$178.22 ,31129810,$177.64 ,$178.30 ,$176.16 
AMZN,8/16/24,$177.06 ,31489180,$177.04 ,$178.34 ,$176.26 
AMZN,8/15/24,$177.59 ,51698510,$174.86 ,$177.91 ,$173.99 
AMZN,8/14/24,$170.10 ,28843800,$172.11 ,$172.28 ,$168.86 
AMZN,8/13/24,$170.23 ,39237920,$167.81 ,$171.04 ,$167.10 
AMZN,8/12/24,$166.80 ,30072790,$168.14 ,$168.55 ,$166.11 
AMZN,8/9/24,$166.94 ,36401050,$166.40 ,$168.55 ,$165.85 
AMZN,8/8/24,$165.80 ,44616210,$165.17 ,$166.69 ,$162.55 
AMZN,8/7/24,$162.77 ,48408240,$166.55 ,$167.58 ,$161.43 
AMZN,8/6/24,$161.93 ,59950830,$161.71 ,$165.08 ,$158.54 
AMZN,8/5/24,$161.02 ,83149440,$154.21 ,$162.96 ,$151.61 
AMZN,8/2/24,$167.90 ,141448400,$166.75 ,$168.77 ,$160.55 
AMZN,8/1/24,$184.07 ,70435640,$189.29 ,$190.60 ,$181.87 
AMZN,7/31/24,$186.98 ,41667330,$185.05 ,$187.94 ,$184.46 
AMZN,7/30/24,$181.71 ,39508570,$184.72 ,$185.86 ,$179.38 
AMZN,7/29/24,$183.20 ,33270120,$183.84 ,$184.75 ,$182.38 
AMZN,7/26/24,$182.50 ,29505960,$180.39 ,$183.19 ,$180.24 
AMZN,7/25/24,$179.85 ,44464160,$182.91 ,$183.90 ,$176.80 
AMZN,7/24/24,$180.83 ,41532360,$183.20 ,$185.45 ,$180.41 
AMZN,7/23/24,$186.41 ,47537670,$184.10 ,$189.39 ,$183.56 
AMZN,7/22/24,$182.55 ,39931920,$185.00 ,$185.06 ,$182.48 
AMZN,7/19/24,$183.13 ,43081830,$181.14 ,$184.93 ,$180.11 
AMZN,7/18/24,$183.75 ,51043630,$189.59 ,$189.68 ,$181.45 
AMZN,7/17/24,$187.93 ,48076140,$191.35 ,$191.58 ,$185.99 
AMZN,7/16/24,$193.02 ,33994710,$195.59 ,$196.62 ,$192.24 
AMZN,7/15/24,$192.72 ,40683230,$194.56 ,$196.19 ,$190.83 
AMZN,7/12/24,$194.49 ,30598530,$194.80 ,$196.47 ,$193.83 
AMZN,7/11/24,$195.05 ,44565040,$200.09 ,$200.27 ,$192.86 
AMZN,7/10/24,$199.79 ,32883750,$200.00 ,$200.11 ,$197.69 
AMZN,7/9/24,$199.34 ,32756740,$199.40 ,$200.57 ,$199.05 
AMZN,7/8/24,$199.29 ,34767260,$200.04 ,$201.20 ,$197.96 
AMZN,7/5/24,$200.00 ,39858890,$198.65 ,$200.55 ,$198.17 
AMZN,7/3/24,$197.59 ,31597930,$199.94 ,$200.03 ,$196.76 
AMZN,7/2/24,$200.00 ,45600010,$197.28 ,$200.43 ,$195.93 
AMZN,7/1/24,$197.20 ,41192010,$193.49 ,$198.30 ,$192.82 
AMZN,6/28/24,$193.25 ,76930190,$197.73 ,$198.85 ,$192.50 
AMZN,6/27/24,$197.85 ,74397490,$195.01 ,$199.84 ,$194.20 
AMZN,6/26/24,$193.61 ,65103890,$186.92 ,$194.80 ,$186.26 
AMZN,6/25/24,$186.34 ,45898480,$186.81 ,$188.84 ,$185.42 
AMZN,6/24/24,$185.57 ,50610380,$189.33 ,$191.00 ,$185.33 
AMZN,6/21/24,$189.08 ,72931750,$187.80 ,$189.28 ,$185.86 
AMZN,6/20/24,$186.10 ,44726780,$182.91 ,$186.51 ,$182.72 
AMZN,6/18/24,$182.81 ,36659160,$183.74 ,$184.29 ,$181.43 
AMZN,6/17/24,$184.06 ,35601910,$182.52 ,$185.00 ,$181.22 
AMZN,6/14/24,$183.66 ,25456410,$183.08 ,$183.72 ,$182.23 
AMZN,6/13/24,$183.83 ,39721550,$186.09 ,$187.67 ,$182.67 
AMZN,6/12/24,$186.89 ,33984220,$188.02 ,$188.35 ,$185.43 
AMZN,6/11/24,$187.23 ,27265110,$187.06 ,$187.77 ,$184.54 
AMZN,6/10/24,$187.06 ,34494500,$184.07 ,$187.23 ,$183.79 
AMZN,6/7/24,$184.30 ,28021470,$184.90 ,$186.29 ,$183.36 
AMZN,6/6/24,$185.00 ,31371150,$181.75 ,$185.00 ,$181.49 
AMZN,6/5/24,$181.28 ,32116390,$180.10 ,$181.50 ,$178.75 
