Name,Date,Close/Last,Volume,Open,High,Low
GOOG,9/20/24,164.64,46362670.00,164.52,164.75,163.18
GOOG,9/19/24,163.24,17548190.00,164.82,164.99,162.52
GOOG,9/18/24,160.81,16756450.00,160.85,161.63,159.66
GOOG,9/17/24,160.28,12064790.00,160.09,161.59,159.41
GOOG,9/16/24,158.99,14157610.00,158.33,159.24,157.61
GOOG,9/13/24,158.37,16733910.00,156.36,159.28,156.11
GOOG,9/12/24,155.54,21024060.00,154.81,155.61,153.50
GOOG,9/11/24,152.15,18991490.00,151.09,152.48,148.70
GOOG,9/10/24,150.01,20401770.00,151.45,152.30,149.54
GOOG,9/9/24,149.54,28057750.00,153.63,154.64,148.20
GOOG,9/6/24,152.13,24999060.00,158.69,159.22,151.94
GOOG,9/5/24,158.60,14139500.00,157.78,161.02,157.52
GOOG,9/4/24,157.81,17410650.00,158.08,160.40,157.44
GOOG,9/3/24,158.61,26533110.00,163.32,163.38,157.86
GOOG,8/30/24,165.11,18498780.00,164.22,165.28,163.41
GOOG,8/29/24,163.40,17133830.00,166.06,167.63,161.98
GOOG,8/28/24,164.50,15208740.00,166.78,167.39,163.28
GOOG,8/27/24,166.38,13718160.00,167.61,168.25,166.16
GOOG,8/26/24,167.93,11990310.00,168.16,169.38,166.32
GOOG,8/23/24,167.43,14281620.00,166.55,167.95,165.66
GOOG,8/22/24,165.49,19123780.00,169.04,169.42,165.03
GOOG,8/21/24,167.63,15269550.00,166.99,168.64,166.57
GOOG,8/20/24,168.96,12622520.00,168.74,170.41,168.66
GOOG,8/19/24,168.40,13100760.00,167.00,168.47,166.09
GOOG,8/16/24,164.74,16853140.00,163.41,166.95,163.08
GOOG,8/15/24,163.17,18392450.00,162.21,163.52,161.49
GOOG,8/14/24,162.03,22515900.00,164.21,164.96,159.53
GOOG,8/13/24,165.93,12717630.00,165.19,166.54,164.77
GOOG,8/12/24,163.95,12434970.00,166.00,166.70,163.55
GOOG,8/9/24,165.39,13549230.00,161.65,165.52,160.93
GOOG,8/8/24,163.84,15733610.00,162.34,165.50,162.03
GOOG,8/7/24,160.75,19334250.00,163.24,164.79,160.24
GOOG,8/6/24,160.54,36146540.00,160.95,162.35,158.13
GOOG,8/5/24,160.64,34907820.00,157.37,165.94,156.60
GOOG,8/2/24,168.40,18907770.00,168.19,170.21,166.39
GOOG,8/1/24,172.45,17177830.00,171.98,175.68,170.51
GOOG,7/31/24,173.15,15650150.00,174.92,175.91,171.72
GOOG,7/30/24,171.86,13681420.00,171.83,172.95,170.12
GOOG,7/29/24,171.13,13768930.00,170.50,172.16,169.72
GOOG,7/26/24,168.68,25150120.00,168.77,169.84,165.87
GOOG,7/25/24,169.16,28967880.00,174.25,175.20,169.05
GOOG,7/24/24,174.37,31250680.00,175.39,177.95,173.57
GOOG,7/23/24,183.60,23772600.00,183.84,185.22,183.33
