Name,Date,Close/Last,Volume,Open,High,Low
IBM,9/20/24,$217.70 ,9958980,$214.33 ,$217.85 ,$213.74 
IBM,9/19/24,$213.89 ,5279559,$218.01 ,$218.48 ,$210.37 
IBM,9/18/24,$214.94 ,3482764,$214.13 ,$216.86 ,$213.59 
IBM,9/17/24,$214.13 ,5635210,$217.25 ,$218.84 ,$213.00 
IBM,9/16/24,$217.16 ,4176257,$215.88 ,$217.90 ,$215.52 
IBM,9/13/24,$214.79 ,4572344,$212.48 ,$216.09 ,$212.13 
IBM,9/12/24,$211.61 ,4616446,$210.00 ,$212.65 ,$208.27 
IBM,9/11/24,$209.89 ,5554309,$207.76 ,$210.12 ,$203.04 
IBM,9/10/24,$205.32 ,3070644,$204.20 ,$205.83 ,$202.87 
IBM,9/9/24,$203.53 ,3705004,$201.94 ,$205.05 ,$201.43 
IBM,9/6/24,$200.74 ,3304491,$202.38 ,$204.10 ,$199.34 
IBM,9/5/24,$202.59 ,3229345,$204.08 ,$205.95 ,$200.96 
IBM,9/4/24,$204.11 ,3142476,$200.76 ,$204.36 ,$200.50 
IBM,9/3/24,$201.28 ,3874697,$201.91 ,$204.72 ,$200.21 
IBM,8/30/24,$202.13 ,4750999,$199.11 ,$202.17 ,$198.73 
IBM,8/29/24,$198.90 ,2989594,$199.30 ,$201.12 ,$198.27 
IBM,8/28/24,$198.46 ,2645244,$199.00 ,$200.00 ,$197.49 
IBM,8/27/24,$198.73 ,2617229,$197.44 ,$199.40 ,$196.97 
IBM,8/26/24,$197.98 ,2567217,$196.00 ,$198.35 ,$195.90 
IBM,8/23/24,$196.10 ,2321961,$196.79 ,$197.38 ,$194.39 
IBM,8/22/24,$195.96 ,1969496,$197.25 ,$197.92 ,$195.57 
IBM,8/21/24,$197.21 ,2579343,$195.97 ,$197.33 ,$194.12 
IBM,8/20/24,$196.03 ,1790371,$194.59 ,$196.21 ,$193.75 
IBM,8/19/24,$194.73 ,2361378,$193.84 ,$195.53 ,$193.72 
IBM,8/16/24,$193.78 ,2494472,$193.58 ,$194.35 ,$192.86 
IBM,8/15/24,$193.95 ,2471985,$193.51 ,$194.25 ,$193.28 
IBM,8/14/24,$192.32 ,1895114,$191.15 ,$193.09 ,$190.73 
IBM,8/13/24,$190.99 ,2178862,$190.29 ,$191.31 ,$189.21 
IBM,8/12/24,$189.48 ,2290421,$191.25 ,$191.58 ,$189.00 
IBM,8/9/24,$191.45 ,2773706,$191.18 ,$192.63 ,$189.04 
IBM,8/8/24,$192.61 ,3712698,$187.50 ,$192.88 ,$187.00 
IBM,8/7/24,$186.80 ,3801942,$188.08 ,$189.87 ,$186.70 
IBM,8/6/24,$186.80 ,3632517,$184.70 ,$188.90 ,$183.64 
IBM,8/5/24,$183.31 ,4975002,$184.55 ,$185.26 ,$181.81 
IBM,8/2/24,$189.12 ,4548824,$188.78 ,$189.26 ,$185.70 
IBM,8/1/24,$189.66 ,4085354,$192.81 ,$193.64 ,$188.29 
IBM,7/31/24,$192.14 ,5558405,$191.00 ,$194.55 ,$189.99 
IBM,7/30/24,$191.04 ,3064978,$191.48 ,$192.77 ,$189.09 
IBM,7/29/24,$191.50 ,3336806,$193.18 ,$193.29 ,$189.18 
IBM,7/26/24,$191.75 ,4294875,$190.51 ,$193.57 ,$189.62 
IBM,7/25/24,$191.98 ,9532802,$186.80 ,$196.26 ,$185.30 
IBM,7/24/24,$184.02 ,6962071,$184.14 ,$185.07 ,$183.15 
IBM,7/23/24,$184.10 ,2180225,$184.36 ,$185.38 ,$183.01 
IBM,7/22/24,$184.15 ,2488525,$183.40 ,$184.97 ,$182.86 
IBM,7/19/24,$183.25 ,3816039,$186.33 ,$187.00 ,$181.95 
IBM,7/18/24,$185.22 ,3487808,$186.64 ,$189.47 ,$185.10 
IBM,7/17/24,$187.45 ,4225302,$185.44 ,$187.94 ,$185.07 
IBM,7/16/24,$185.81 ,3374526,$184.67 ,$186.60 ,$184.52 
IBM,7/15/24,$182.88 ,2925794,$183.38 ,$184.90 ,$182.60 
IBM,7/12/24,$182.83 ,4785565,$178.56 ,$184.16 ,$178.50 
IBM,7/11/24,$178.31 ,2807145,$177.65 ,$179.44 ,$176.62 
IBM,7/10/24,$177.84 ,3462182,$176.60 ,$178.22 ,$174.45 
IBM,7/9/24,$176.48 ,2513305,$177.60 ,$177.70 ,$175.58 
IBM,7/8/24,$177.64 ,2503038,$176.41 ,$178.59 ,$176.01 
IBM,7/5/24,$176.02 ,2085970,$175.74 ,$176.09 ,$173.95 
IBM,7/3/24,$175.73 ,1649049,$177.88 ,$177.98 ,$175.17 
IBM,7/2/24,$177.30 ,2883275,$174.84 ,$177.49 ,$174.32 
IBM,7/1/24,$175.10 ,3320961,$173.45 ,$176.46 ,$173.38 
IBM,6/28/24,$172.95 ,4193459,$170.85 ,$173.46 ,$170.53 
IBM,6/27/24,$170.85 ,2894001,$171.12 ,$172.50 ,$170.48 
IBM,6/26/24,$171.87 ,2779016,$171.28 ,$172.68 ,$170.41 
IBM,6/25/24,$172.60 ,4119267,$175.14 ,$175.75 ,$171.42 
IBM,6/24/24,$175.01 ,4864735,$175.00 ,$178.46 ,$174.15 
IBM,6/21/24,$172.46 ,10182030,$173.97 ,$174.96 ,$171.40 
IBM,6/20/24,$173.92 ,4723078,$174.08 ,$174.28 ,$171.22 
IBM,6/18/24,$170.55 ,3386442,$170.00 ,$170.75 ,$168.38 
IBM,6/17/24,$169.50 ,3239815,$168.76 ,$169.72 ,$167.50 
IBM,6/14/24,$169.21 ,2777717,$168.29 ,$169.47 ,$167.23 
IBM,6/13/24,$169.12 ,3525717,$169.01 ,$169.59 ,$168.34 
IBM,6/12/24,$169.00 ,3522698,$171.35 ,$172.47 ,$168.10 
IBM,6/11/24,$169.32 ,2951251,$169.98 ,$170.00 ,$166.81 
IBM,6/10/24,$170.38 ,3444684,$169.55 ,$170.76 ,$168.88 
IBM,6/7/24,$170.01 ,3475495,$168.18 ,$171.31 ,$168.06 
IBM,6/6/24,$168.20 ,2207263,$167.38 ,$168.44 ,$166.80 
IBM,6/5/24,$167.38 ,3049377,$166.41 ,$167.79 ,$165.78 
IBM,6/4/24,$165.81 ,2594203,$164.60 ,$166.40 ,$163.88 
IBM,6/3/24,$165.28 ,2776058,$166.54 ,$166.78 ,$163.53 
IBM,5/31/24,$166.85 ,4905002,$165.70 ,$166.97 ,$163.84 
IBM,5/30/24,$165.63 ,3852963,$165.56 ,$166.73 ,$164.23 
IBM,5/29/24,$167.05 ,4206576,$168.00 ,$168.63 ,$166.21 
IBM,5/28/24,$169.66 ,2629645,$170.44 ,$171.09 ,$168.65 
IBM,5/24/24,$170.89 ,2587829,$171.48 ,$172.01 ,$170.21 
IBM,5/23/24,$170.67 ,3341335,$175.39 ,$175.46 ,$170.44 
IBM,5/22/24,$173.69 ,3294900,$173.39 ,$174.99 ,$172.76 
IBM,5/21/24,$173.47 ,6459800,$169.94 ,$174.97 ,$169.94 
IBM,5/20/24,$169.92 ,2726261,$169.00 ,$170.16 ,$168.38 
IBM,5/17/24,$169.03 ,2956387,$168.97 ,$169.11 ,$167.33 
IBM,5/16/24,$168.97 ,3492267,$168.26 ,$169.63 ,$167.79 
IBM,5/15/24,$168.26 ,4468823,$167.94 ,$168.35 ,$167.34 
IBM,5/14/24,$167.36 ,2600967,$167.86 ,$168.13 ,$166.48 
IBM,5/13/24,$167.56 ,2414859,$167.50 ,$168.06 ,$166.76 
IBM,5/10/24,$167.15 ,2255370,$167.13 ,$168.07 ,$166.32 
IBM,5/9/24,$166.27 ,4266616,$167.50 ,$167.55 ,$165.88 
IBM,5/8/24,$169.90 ,3522011,$168.01 ,$170.26 ,$167.90 
IBM,5/7/24,$168.38 ,3155260,$169.00 ,$169.29 ,$167.94 
IBM,5/6/24,$168.61 ,4222266,$166.50 ,$168.67 ,$166.38 
IBM,5/3/24,$165.71 ,3400405,$165.00 ,$166.61 ,$164.92 
IBM,5/2/24,$164.69 ,3829853,$164.35 ,$164.88 ,$162.62 
IBM,5/1/24,$164.43 ,4030960,$165.69 ,$166.27 ,$164.30 
IBM,4/30/24,$166.20 ,6011634,$166.49 ,$166.76 ,$165.26 
IBM,4/29/24,$167.43 ,5263342,$167.40 ,$168.22 ,$166.23 
IBM,4/26/24,$167.13 ,8983796,$167.50 ,$167.87 ,$165.73 
IBM,4/25/24,$168.91 ,16702150,$168.20 ,$172.45 ,$165.66 
IBM,4/24/24,$184.10 ,7616643,$183.17 ,$184.29 ,$181.40 
IBM,4/23/24,$182.19 ,5950229,$182.73 ,$184.68 ,$179.00 
IBM,4/22/24,$181.90 ,3076451,$182.45 ,$183.32 ,$180.45 
IBM,4/19/24,$181.58 ,3037990,$182.43 ,$182.80 ,$180.57 
IBM,4/18/24,$181.47 ,2886733,$182.35 ,$183.46 ,$180.17 
IBM,4/17/24,$183.10 ,3003033,$184.16 ,$184.67 ,$181.78 
IBM,4/16/24,$183.75 ,4473654,$185.59 ,$185.71 ,$182.86 
IBM,4/15/24,$181.25 ,3528140,$185.57 ,$187.48 ,$180.88 
IBM,4/12/24,$182.27 ,3547378,$184.00 ,$185.17 ,$181.69 
IBM,4/11/24,$185.90 ,2861736,$186.04 ,$186.80 ,$184.58 
IBM,4/10/24,$186.04 ,3081915,$187.42 ,$187.92 ,$185.52 
IBM,4/9/24,$189.31 ,2794381,$190.54 ,$191.25 ,$186.66 
IBM,4/8/24,$189.82 ,2678284,$189.24 ,$190.24 ,$188.91 
IBM,4/5/24,$189.14 ,2014264,$188.59 ,$190.32 ,$188.02 
IBM,4/4/24,$187.94 ,2983853,$192.00 ,$193.28 ,$187.34 
IBM,4/3/24,$190.90 ,2826193,$188.60 ,$191.35 ,$188.49 
IBM,4/2/24,$188.88 ,2693455,$189.14 ,$189.80 ,$187.60 
IBM,4/1/24,$189.83 ,2364320,$190.00 ,$190.46 ,$188.52 
IBM,3/28/24,$190.96 ,3742169,$190.94 ,$191.93 ,$190.34 
IBM,3/27/24,$190.80 ,3693305,$189.60 ,$190.96 ,$188.60 
IBM,3/26/24,$188.50 ,4229535,$189.02 ,$190.00 ,$188.50 
IBM,3/25/24,$188.79 ,3718289,$190.26 ,$190.82 ,$188.75 
IBM,3/22/24,$190.84 ,3988398,$192.00 ,$192.99 ,$190.51 
IBM,3/21/24,$191.90 ,6013561,$193.00 ,$193.37 ,$190.01 
IBM,3/20/24,$193.96 ,3238643,$192.87 ,$193.98 ,$191.31 
