Name,Date,Close/Last,Volume,Open,High,Low
MSFT,9/20/24,435.27,55167110.00,437.22,439.24,434.22
MSFT,9/19/24,438.69,21706560.00,441.23,441.50,436.90
MSFT,9/18/24,430.81,18898040.00,435.00,436.03,430.41
MSFT,9/17/24,435.15,18874230.00,440.23,441.85,432.27
MSFT,9/16/24,431.34,13834700.00,430.60,433.53,428.22
MSFT,9/13/24,430.59,15874560.00,425.83,431.83,425.46
MSFT,9/12/24,427.00,17418760.00,423.31,427.37,419.75
MSFT,9/11/24,423.04,19266920.00,415.50,423.99,409.58
MSFT,9/10/24,414.20,19594290.00,408.20,416.33,407.70
MSFT,9/9/24,405.72,15295130.00,407.24,408.65,402.15
MSFT,9/6/24,401.70,19609530.00,409.06,410.65,400.80
MSFT,9/5/24,408.39,14195520.00,407.62,413.10,406.13
MSFT,9/4/24,408.90,15135810.00,405.91,411.24,404.37
MSFT,9/3/24,409.44,20313600.00,417.91,419.88,407.03
MSFT,8/30/24,417.14,24308320.00,415.60,417.49,412.13
MSFT,8/29/24,413.12,17045240.00,414.94,422.05,410.60
MSFT,8/28/24,410.60,14882660.00,414.88,415.00,407.31
MSFT,8/27/24,413.84,13492910.00,412.86,414.36,410.25
MSFT,8/26/24,413.49,13152830.00,416.37,417.28,411.34
MSFT,8/23/24,416.79,18493780.00,416.98,419.26,412.09
MSFT,8/22/24,415.55,19361900.00,424.36,426.79,414.61
MSFT,8/21/24,424.14,16067300.00,424.08,426.40,421.72
MSFT,8/20/24,424.80,16387580.00,421.70,425.86,421.64
MSFT,8/19/24,421.53,15233960.00,418.96,421.75,416.46
MSFT,8/16/24,418.47,22775590.00,420.60,421.34,417.30
MSFT,8/15/24,421.03,20752140.00,419.80,421.11,417.66
MSFT,8/14/24,416.86,18266980.00,414.80,417.72,412.45
MSFT,8/13/24,414.01,19414270.00,409.59,414.95,409.57
MSFT,8/12/24,406.81,16762880.00,407.06,408.76,404.24
MSFT,8/9/24,406.02,19276670.00,404.03,408.05,402.26
MSFT,8/8/24,402.69,20203030.00,402.44,405.86,399.94
MSFT,8/7/24,398.43,20650910.00,408.64,410.08,397.47
MSFT,8/6/24,399.61,24946530.00,400.00,405.67,398.50
MSFT,8/5/24,395.15,40709240.00,389.17,401.04,385.58
MSFT,8/2/24,408.49,29437900.00,412.49,415.00,404.34
MSFT,8/1/24,417.11,30296400.00,420.79,427.46,413.09
MSFT,7/31/24,418.35,42891370.00,420.50,421.78,412.21
MSFT,7/30/24,422.92,32687580.00,427.72,429.05,417.36
MSFT,7/29/24,426.73,15125840.00,431.58,432.15,424.70
MSFT,7/26/24,425.27,23583840.00,418.20,428.92,417.27
MSFT,7/25/24,418.40,29943800.00,428.80,429.80,417.51
MSFT,7/24/24,428.90,26805800.00,440.45,441.48,427.59
MSFT,7/23/24,444.85,13107050.00,443.90,448.39,443.10
MSFT,7/22/24,442.94,15808760.00,441.79,444.60,438.91
MSFT,7/19/24,437.11,20940420.00,433.10,441.14,432.00
MSFT,7/18/24,440.37,20794820.00,444.34,444.65,434.40
MSFT,7/17/24,443.52,21754020.00,442.59,444.85,439.18
MSFT,7/16/24,449.52,17175680.00,454.22,454.30,446.66
MSFT,7/15/24,453.96,14429450.00,453.30,457.26,451.43
MSFT,7/12/24,453.55,16324270.00,454.33,456.36,450.65
MSFT,7/11/24,454.70,23111180.00,462.98,464.78,451.55
MSFT,7/10/24,466.25,18196100.00,461.22,466.46,458.86
MSFT,7/9/24,459.54,17228510.00,467.00,467.33,458.00
MSFT,7/8/24,466.24,12962320.00,466.55,467.70,464.46
MSFT,7/5/24,467.56,16000290.00,459.61,468.35,458.97
MSFT,7/3/24,460.77,9932830.00,458.19,461.02,457.88
MSFT,7/2/24,459.28,13979780.00,453.20,459.59,453.11
MSFT,7/1/24,456.73,17662820.00,448.66,457.37,445.66
MSFT,6/28/24,446.95,28362270.00,453.07,455.38,446.41
MSFT,6/27/24,452.85,14806320.00,452.18,456.17,451.77
MSFT,6/26/24,452.16,16507030.00,449.00,453.60,448.19
MSFT,6/25/24,450.95,16747530.00,448.25,451.42,446.75
MSFT,6/24/24,447.67,15913720.00,449.80,452.75,446.41
MSFT,6/21/24,449.78,34486170.00,447.38,450.58,446.51
MSFT,6/20/24,445.70,19877380.00,446.30,446.53,441.27
MSFT,6/18/24,446.34,17112500.00,449.71,450.14,444.89
MSFT,6/17/24,448.37,20790030.00,442.59,450.94,440.72
MSFT,6/14/24,442.57,13581990.00,438.28,443.14,436.72
MSFT,6/13/24,441.58,15960570.00,440.85,443.39,439.37
MSFT,6/12/24,441.06,22366230.00,435.32,443.40,433.25
MSFT,6/11/24,432.68,14551100.00,425.48,432.82,425.25
MSFT,6/10/24,427.87,14003030.00,424.70,428.08,423.89
MSFT,6/7/24,423.85,13621650.00,426.20,426.28,423.00
MSFT,6/6/24,424.52,14861250.00,424.01,425.31,420.58
MSFT,6/5/24,424.01,16988040.00,417.81,424.08,416.30
MSFT,6/4/24,416.07,14348920.00,412.43,416.44,409.68
MSFT,6/3/24,413.52,17484680.00,415.53,416.43,408.92
MSFT,5/31/24,415.13,47995250.00,416.75,416.75,404.51
MSFT,5/30/24,414.67,28424850.00,424.30,424.30,414.24
MSFT,5/29/24,429.17,15517130.00,425.69,430.94,425.69
MSFT,5/28/24,430.32,15718020.00,429.63,430.82,426.60
MSFT,5/24/24,430.16,11855290.00,427.19,431.06,424.41
MSFT,5/23/24,427.00,17211690.00,432.97,433.60,425.42
MSFT,5/22/24,430.52,18073700.00,430.09,432.41,427.13
MSFT,5/21/24,429.04,21453260.00,426.83,432.97,424.85
MSFT,5/20/24,425.34,16272140.00,420.21,426.77,419.99
MSFT,5/17/24,420.21,15352240.00,422.54,422.92,418.03
MSFT,5/16/24,420.99,17530050.00,421.80,425.42,420.35
MSFT,5/15/24,423.08,22239530.00,417.90,423.81,417.27
MSFT,5/14/24,416.56,15109310.00,412.02,417.49,411.55
MSFT,5/13/24,413.72,15440230.00,418.01,418.35,410.82
MSFT,5/10/24,414.74,13402280.00,412.94,415.38,411.80
MSFT,5/9/24,412.32,14689730.00,410.57,412.72,409.10
MSFT,5/8/24,410.54,11792310.00,408.17,412.23,406.71
MSFT,5/7/24,409.34,20018230.00,414.66,414.67,409.09
MSFT,5/6/24,413.54,16996640.00,408.76,413.93,406.37
MSFT,5/3/24,406.66,17446720.00,402.28,407.15,401.86
MSFT,5/2/24,397.84,17709360.00,397.66,399.93,394.65
MSFT,5/1/24,394.94,23562480.00,392.61,401.72,390.31
MSFT,4/30/24,389.33,28781370.00,401.49,402.16,389.17
MSFT,4/29/24,402.25,19582090.00,405.25,406.32,399.19
MSFT,4/26/24,406.32,29694650.00,412.17,413.00,405.76
MSFT,4/25/24,399.04,40586450.00,394.03,399.89,388.03
MSFT,4/24/24,409.06,15065330.00,409.56,412.47,406.78
MSFT,4/23/24,407.57,15734500.00,404.24,408.20,403.06
MSFT,4/22/24,400.96,20286880.00,400.08,402.85,395.75
MSFT,4/19/24,399.12,30565790.00,404.03,405.48,397.77
MSFT,4/18/24,404.27,21029920.00,410.63,411.89,403.95
MSFT,4/17/24,411.84,15855490.00,417.25,418.88,410.33
MSFT,4/16/24,414.58,16765620.00,414.57,418.40,413.73
MSFT,4/15/24,413.64,20273540.00,426.60,426.82,413.43
MSFT,4/12/24,421.90,19253750.00,424.05,425.18,419.77
MSFT,4/11/24,427.93,17966420.00,425.82,429.37,422.36
MSFT,4/10/24,423.26,16216580.00,422.19,424.03,419.70
MSFT,4/9/24,426.28,12512290.00,426.44,427.74,421.62
MSFT,4/8/24,424.59,14272390.00,425.17,427.28,423.30
MSFT,4/5/24,425.52,16554760.00,420.01,426.51,418.32
MSFT,4/4/24,417.88,19370880.00,424.99,428.67,417.57
MSFT,4/3/24,420.45,16502260.00,419.73,423.26,419.09
MSFT,4/2/24,421.44,17911990.00,420.11,422.38,417.84
MSFT,4/1/24,424.57,16315960.00,423.95,427.89,422.22
MSFT,3/28/24,420.72,21871160.00,420.96,421.87,419.12
MSFT,3/27/24,421.43,16704980.00,424.44,424.45,419.01
MSFT,3/26/24,421.65,16725650.00,425.61,425.99,421.35
MSFT,3/25/24,422.86,18060450.00,425.24,427.41,421.61
MSFT,3/22/24,428.74,17648470.00,429.70,429.86,426.07
MSFT,3/21/24,429.37,21296220.00,429.83,430.82,427.16
MSFT,3/20/24,425.23,17860090.00,422.00,425.96,420.66
MSFT,3/19/24,421.41,19837920.00,417.83,421.67,415.55
MSFT,3/18/24,417.32,20105980.00,414.25,420.73,413.78
MSFT,3/15/24,416.42,45079900.00,419.29,422.60,412.79
MSFT,3/14/24,425.22,34157300.00,420.24,427.82,417.99
MSFT,3/13/24,415.10,17115930.00,418.10,418.18,411.45
MSFT,3/12/24,415.28,22457000.00,407.62,415.57,406.79
MSFT,3/11/24,404.52,16120750.00,403.76,405.68,401.26
MSFT,3/8/24,406.22,18002190.00,407.96,410.42,404.33
MSFT,3/7/24,409.14,18718480.00,406.12,409.78,402.24
MSFT,3/6/24,402.09,22344150.00,402.97,405.16,398.39
MSFT,3/5/24,402.65,26919180.00,413.96,414.25,400.64
MSFT,3/4/24,414.92,17595960.00,413.44,417.35,412.32
MSFT,3/1/24,415.50,17823450.00,411.27,415.87,410.88
MSFT,2/29/24,413.64,31947260.00,408.64,414.20,405.92
MSFT,2/28/24,407.72,13183130.00,408.18,409.30,405.32
MSFT,2/27/24,407.48,14835830.00,407.99,408.32,403.85
MSFT,2/26/24,407.54,16193510.00,411.46,412.16,407.36
MSFT,2/23/24,410.34,16295880.00,415.67,415.86,408.97
MSFT,2/22/24,411.65,27009870.00,410.19,412.83,408.57
MSFT,2/21/24,402.18,18631070.00,400.17,402.29,397.22
MSFT,2/20/24,402.79,24307920.00,403.24,404.49,398.01
MSFT,2/16/24,404.06,22296500.00,407.96,408.29,403.44
MSFT,2/15/24,406.56,21825530.00,408.14,409.13,404.29
MSFT,2/14/24,409.49,20401190.00,408.07,409.84,404.57
MSFT,2/13/24,406.32,27824940.00,404.94,410.07,403.39
MSFT,2/12/24,415.26,21202920.00,420.56,420.74,414.75
MSFT,2/9/24,420.55,22032840.00,415.25,420.82,415.09
MSFT,2/8/24,414.11,21225260.00,414.05,415.56,412.53
MSFT,2/7/24,414.05,22340530.00,407.44,414.30,407.40
MSFT,2/6/24,405.49,18382620.00,405.88,407.97,402.91
MSFT,2/5/24,405.65,25352290.00,409.90,411.16,403.99
MSFT,2/2/24,411.22,28256670.00,403.81,412.65,403.56
MSFT,2/1/24,403.78,30657730.00,401.83,408.00,401.80
MSFT,1/31/24,397.58,47871100.00,406.96,415.32,397.21
MSFT,1/30/24,408.59,33477610.00,412.26,413.05,406.45
MSFT,1/29/24,409.72,24510240.00,406.06,409.98,404.33
