SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2
00000,United States,20328553.0,20580912.0,20798730.0,20917867.0,21111600.0,21397938.0,21717171.0,21933217.0,21727657.0,19935444.0,21684551.0,22068767.0,22656793.0,23368861.0,23921991.0,24777038.0,25215491.0,25805791.0,26272011.0,26734277.0,27164359.0,27453815.0,27967697.0,28296967.0,28624069.0,29016714.0
01000,Alabama,223721.9,225456.8,226629.9,229246.5,231258.9,233386.0,236371.8,238176.2,237604.9,219394.4,241205.6,243096.4,251540.7,257209.0,261417.8,269906.3,274846.2,281675.9,288237.6,295036.9,299305.3,301828.8,307124.0,311484.2,313790.1,318080.0
02000,Alaska,54467.1,54586.0,55060.6,54934.0,54034.3,54126.1,54946.3,55091.6,53691.9,47521.3,50687.7,53232.9,55409.4,57337.1,59618.8,63408.9,63214.7,67637.8,67434.4,66800.4,66726.3,67068.1,68989.7,69440.0,69272.8,69794.2
04000,Arizona,347792.7,351351.1,356079.0,359461.1,363813.7,370964.5,380142.1,386586.3,385783.8,365814.5,396348.7,407879.7,415366.3,428550.5,442117.7,461079.9,466632.2,479134.3,489255.8,501186.6,510987.1,519029.9,527051.4,534000.5,541058.4,548806.1
05000,Arkansas,127737.0,128619.9,129805.5,130692.8,130559.9,131390.8,133458.5,135094.0,135091.2,128661.4,139583.3,141457.5,146735.4,153307.7,155813.7,160353.0,162939.4,166445.8,170551.9,174486.0,176972.9,176937.3,179238.5,181276.9,184600.9,186196.7
06000,California,2838125.2,2885427.0,2925403.0,2949168.2,2987644.2,3047883.1,3096476.8,3142514.6,3118522.7,2871237.9,3126987.5,3190272.4,3279904.9,3376467.2,3465519.5,3573941.6,3591071.1,3641685.3,3688897.5,3720008.9,3808244.2,3836679.8,3900426.7,3936165.1,4027204.4,4080178.3
08000,Colorado,370594.8,372029.5,374311.3,378756.7,386187.3,394703.4,404317.5,406166.1,406111.1,371324.1,401438.2,408094.0,425032.6,438425.6,450912.8,468971.7,480412.5,489395.7,500522.6,508360.3,516669.8,526218.4,534620.5,540997.3,542411.2,550173.1
09000,Connecticut,278908.8,278608.0,283245.7,281379.1,281551.6,284597.2,287863.7,291795.0,283402.3,260540.2,282166.9,286008.3,286159.6,294832.5,299695.1,306518.2,312169.4,317151.8,324171.7,333252.8,336536.4,343415.6,348449.3,355246.3,358593.5,363416.8
10000,Delaware,71458.3,72457.0,74357.7,75231.3,76626.4,78302.7,79718.4,80194.7,78724.7,73674.4,78757.4,78924.7,80569.7,82038.2,83526.9,86144.6,89732.9,91557.7,93399.9,95542.2,95301.8,97505.3,99284.1,100183.8,100917.7,102400.8
11000,District of Columbia,138484.0,140581.1,142944.1,142951.5,142596.3,144106.2,145891.9,147691.3,148048.2,141009.0,146984.5,150598.7,151060.1,155373.5,158546.6,161169.8,163585.0,164354.7,166302.8,168831.0,171744.6,176310.8,177413.9,180537.3,182189.9,184915.6
