Country  ReadAnnually  Hours
United States	17	357
India	16	352
United Kingdom	15	343
France	14	305
Italy	13	278
Russia	11	223
Australia	10	217
Spain	9	187
Netherlands	8	187
Switzerland	6.9	157
Taiwan	6.83	157
Belgium	6.76	155
Singapore	6.72	155
Hong Kong	6.66	155
South Africa	6.62	154
China	6.61	154
Norway	6.48	153
Israel	6.42	149
Austria	6.42	153
Thailand	6.37	149
Iran	6.36	149
Colombia	6.32	147
Chile	6.28	144
Romania	6.28	147
Germany	6.25	141
Japan	6.2	135
Czech Republic	6.07	133
Finland	6.06	131
Turkey	6.05	130
Indonesia	5.91	129
Mexico	5.83	127
South Korea	5.69	125
Brazil	5.61	125
Philippines	5.59	123
Vietnam	5.54	123
Malaysia	5.49	122
Denmark	5.48	121
Egypt	5.41	121
Peru	5.35	120
Portugal	5.35	120
New Zealand	5.32	119
Greece	5.31	117
Ukraine	5.29	117
Hungary	5.29	117
Slovakia	5.26	116
Cuba	5.18	115
Dominican Republic	5.13	115
Ecuador	5.11	113
Puerto Rico	5.1	113
Kenya	4.97	108
Bulgaria	4.96	106
Luxembourg	4.94	106
Venezuela	4.91	104
Argentina	4.88	103
Costa Rica	4.83	102
Panama	4.8	101
Lithuania	4.76	101
Slovenia	4.72	100
Estonia	4.66	98
Macau	4.66	98
Iceland	4.51	97
Georgia	4.3	96
Armenia	4.29	94
Malta	4.17	94
North Macedonia	4.11	94
Mauritius	4.02	89
Tajikistan	4.01	89
Namibia	4	88
Kyrgyzstan	3.96	87
Nicaragua	3.93	86
Niger	3.77	86
Moldova	3.62	85
Jamaica	3.58	80
Syria	3.57	80
Cambodia	3.52	78
Zimbabwe	3.49	78
Lebanon	3.46	77
Bahrain	3.44	77
Jordan	3.43	76
Sri Lanka	3.29	76
Myanmar	3.28	74
Azerbaijan	3.25	74
Angola	3.18	69
Turkmenistan	3.18	74
Oman	3.13	69
Kuwait	3.08	69
Ethiopia	3.06	69
Morocco	2.97	67
Qatar	2.93	67
Algeria	2.83	65
Iraq	2.77	64
Kazakhstan	2.77	65
Bangladesh	2.75	62
United Arab Emirates	2.71	60
Saudi Arabia	2.69	60
Pakistan	2.6	60
Brunei	2.59	60
Afghanistan	2.56	58
